emdat_id,emdat_event_id,dfo_id,publisher_external_ids,workbook_row,emdat_country,dfo_country,emdat_start,emdat_end,dfo_start,dfo_end,status,reasons
2015-0060-DOM,2015-0060,DFO-4227,DFO:4227|GLIDE:FL-2015-000014,22013,Dominican Republic,Dominican Republic,2015-02-20,2015-02-24,2015-02-20,2015-02-24,accepted,
2015-0090-AGO,2015-0090,DFO-4233,DFO:4233,14454,Angola,Angola,2015-03-09,2015-03-23,2015-03-09,2015-03-23,accepted,
2015-0091-AGO,2015-0091,DFO-4232,DFO:4232,3233,Angola,Angola,2015-03-09,2015-03-23,2015-03-09,2015-03-23,accepted,
2015-0106-CHL,2015-0106,DFO-4238,DFO:4238|GLIDE:FL-2015-000027,3219,Chile,Chile,2015-03-25,2015-04-08,2015-03-25,2015-04-08,accepted,
2015-0107-IND,2015-0107,DFO-4239,DFO:4239|GLIDE:FL-2015-000029,26989,India,India,2015-03-20,2015-03-31,2015-03-20,2015-03-31,accepted,
2015-0116-HTI,2015-0116,DFO-4243,DFO:4243,14459,Haiti,Haiti,2015-04-04,2015-04-06,2015-04-04,2015-04-06,accepted,
2015-0129-IDN,2015-0129,DFO-4231,DFO:4231,22029,Indonesia,Indonesia,2015-03-15,2015-03-23,2015-03-15,2015-03-23,accepted,
2015-0145-PAK,2015-0145,DFO-4245,DFO:4245,14470,Pakistan,Pakistan,2015-04-26,2015-04-28,2015-04-26,2015-04-28,accepted,
2015-0159-KEN,2015-0159,DFO-4248,DFO:4248|GLIDE:FL-2015-000049,27008,Kenya,Kenya,2015-04-27,2015-05-02,2015-04-27,2015-05-02,accepted,
2015-0185-CHN,2015-0185,DFO-4249,DFO:4249|GLIDE:FL-2015-000057,22048,China,China,2015-05-13,2015-06-01,2015-05-13,2015-06-29,accepted,
2015-0194-TJK,2015-0194,DFO-4256,DFO:4256|GLIDE:FL-2015-000055,22052,Tajikistan,Tajikistan,2015-05-11,2015-05-13,2015-05-11,2015-05-21,accepted,
2015-0203-ROU,2015-0203,DFO-4257,DFO:4257|HANZE:1166,3179,Romania,Romania,2015-05-25,2015-06-02,2015-05-25,2015-06-02,accepted,
2015-0204-CHL,2015-0204,DFO-4255,DFO:4255,27013,Chile,Chile,2015-05-17,2015-05-21,2015-05-17,2015-05-21,accepted,
2015-0205-TZA,2015-0205,DFO-4254,DFO:4254,22042,United Republic of Tanzania,United Republic of Tanzania,2015-05-07,2015-05-21,2015-05-07,2015-05-21,accepted,
2015-0206-NZL,2015-0206,DFO-4253,DFO:4253,14490,New Zealand,New Zealand,2015-05-13,2015-05-21,2015-05-13,2015-05-21,accepted,
2015-0207-IND,2015-0207,DFO-4251,DFO:4251,27014,India,India,2015-05-17,2015-05-21,2015-05-17,2015-05-21,accepted,
2015-0208-BRA,2015-0208,DFO-4246,DFO:4246,22019,Brazil,Brazil,2015-04-01,2015-05-02,2015-04-01,2015-05-02,accepted,
2015-0212-USA,2015-0212,DFO-4252,DFO:4252|GLIDE:FL-2015-000060,27016,United States of America,United States of America,2015-05-23,2015-05-30,2015-05-05,2015-06-29,accepted,
2015-0217-GHA,2015-0217,DFO-4260,DFO:4260|GLIDE:FL-2015-000065,27022,Ghana,Ghana • Togo,2015-06-02,2015-06-15,2015-06-02,2015-06-15,accepted,
2015-0227-GEO,2015-0227,DFO-4261,DFO:4261|GLIDE:FL-2015-000071,27017,Georgia,Georgia,2015-06-07,2015-06-15,2015-06-13,2015-06-15,accepted,
2015-0237-CRI,2015-0237,DFO-4269,DFO:4269|GLIDE:FL-2015-000079,27026,Costa Rica,Costa Rica,2015-06-27,2015-07-09,2015-06-21,2015-06-29,accepted,
2015-0249-IND,2015-0249,DFO-4265,DFO:4265,3152,India,India,2015-06-19,2015-06-20,2015-06-24,2015-06-29,rejected,no_date_overlap
2015-0256-NZL,2015-0256,DFO-4264,DFO:4264,3143,New Zealand,New Zealand,2015-06-22,2015-06-29,2015-06-22,2015-06-29,accepted,
2015-0258-IRN,2015-0258,DFO-4277,DFO:4277|GLIDE:FL-2015-000088,22062,Iran (Islamic Republic of),Iran (Islamic Republic of),2015-07-14,2015-07-21,2015-07-14,2015-07-21,accepted,
2015-0284-PHL,2015-0284,DFO-4278,DFO:4278,27036,Philippines,Philippines,2015-07-12,2015-07-21,2015-07-12,2015-07-21,accepted,
2015-0285-BRA,2015-0285,DFO-4276,DFO:4276|GLIDE:FL-2015-000092,22070,Brazil,Brazil,2015-07-10,2015-07-21,2015-07-10,2015-07-21,accepted,
2015-0286-TJK,2015-0286,DFO-4273,DFO:4273|GLIDE:FL-2015-000094,3138,Tajikistan,Tajikistan,2015-07-15,2015-07-21,2015-07-15,2015-07-21,accepted,
2015-0287-CMR,2015-0287,DFO-4271,DFO:4271|GLIDE:FL-2015-000076,22046,Cameroon,Cameroon,2015-06-22,2015-06-29,2015-06-22,2015-06-29,accepted,
2015-0288-PAK,2015-0288,DFO-4270,DFO:4270,3133,Pakistan,Pakistan,2015-06-25,2015-06-29,2015-06-25,2015-06-29,accepted,
2015-0291-PAK,2015-0291,DFO-4272,DFO:4272|GLIDE:FL-2015-000090,22072,Pakistan,Pakistan,2015-07-15,2015-08-19,2015-07-15,2015-08-19,accepted,
2015-0292-VNM,2015-0292,DFO-4280,DFO:4280|GLIDE:FL-2015-000098,22073,Viet Nam,Viet Nam,2015-07-25,2015-08-05,2015-07-25,2015-08-05,accepted,
2015-0308-MMR,2015-0308,DFO-4283,DFO:4283|GLIDE:FL-2015-000080|GLIDE:FL-2015-000089,27038,Myanmar,Myanmar,2015-07-15,2015-08-19,2015-07-15,2015-08-19,accepted,
2015-0310-PRY,2015-0310,DFO-4281,DFO:4281,22076,Paraguay,Paraguay,2015-07-25,2015-08-05,2015-07-25,2015-08-05,accepted,
2015-0313-GUY,2015-0313,DFO-4275,DFO:4275|GLIDE:FL-2015-000093,27039,Guyana,Guyana,2015-07-15,2015-07-21,2015-07-16,2015-07-21,accepted,
2015-0317-IND,2015-0317,DFO-4282,DFO:4282,3119,India,India,2015-07-15,2015-08-19,2015-07-15,2015-08-19,accepted,
2015-0318-MKD,2015-0318,DFO-4284,DFO:4284|GLIDE:FF-2015-000115|HANZE:2226,22079,North Macedonia,North Macedonia,2015-08-03,2015-08-05,2015-08-03,2015-08-05,accepted,
2015-0349-ARG,2015-0349,DFO-4290,DFO:4290|GLIDE:FL-2015-000110,3094,Argentina,Argentina,2015-08-05,2015-08-12,2015-08-10,2015-08-19,accepted,
2015-0363-URY,2015-0363,DFO-4289,DFO:4289,3080,Uruguay,Uruguay,2015-08-17,2015-08-19,2015-08-17,2015-08-19,accepted,
2015-0368-NER,2015-0368,DFO-4291,DFO:4291|GLIDE:FL-2015-000123,3079,Niger,Niger,2015-07-25,2015-10-01,2015-07-25,2015-08-19,rejected,incomplete_publisher_date
2015-0374-IND,2015-0374,DFO-4288,DFO:4288,27047,India,India,2015-08-13,2015-08-19,2015-08-13,2015-09-11,accepted,
2015-0382-MEX,2015-0382,DFO-4229,DFO:4229,14517,Mexico,Mexico,2015-03-13,2015-03-23,2015-03-13,2015-03-23,accepted,
2015-0383-BOL,2015-0383,DFO-4225,DFO:4225,22085,Bolivia (Plurinational State of),Bolivia (Plurinational State of) • Peru,2015-02-20,2015-02-24,2015-02-20,2015-02-24,accepted,
2015-0448-NGA,2015-0448,DFO-4294,DFO:4294,14529,Nigeria,Nigeria,2015-09-05,2015-09-24,2015-08-30,2015-09-11,accepted,
2015-0451-FRA,2015-0451,DFO-4296,DFO:4296|GLIDE:FL-2015-000140|HANZE:273,3040,France,France,2015-10-03,2015-10-04,2015-10-03,2015-10-07,accepted,
2015-0460-LAO,2015-0460,DFO-4293,DFO:4293,22099,Lao People's Democratic Republic,Viet Nam • Lao People's Democratic Republic,2015-09-07,2015-09-11,2015-09-07,2015-09-11,accepted,
2015-0460-VNM,2015-0460,DFO-4293,DFO:4293,22101,Viet Nam,Viet Nam • Lao People's Democratic Republic,2015-09-07,2015-09-11,2015-09-07,2015-09-11,accepted,
2015-0482-DZA,2015-0482,DFO-4303,DFO:4303|GLIDE:FL-2015-000146,14541,Algeria,Algeria,2015-10-16,2015-10-28,2015-10-16,2015-10-28,accepted,
2015-0498-URY,2015-0498,DFO-4301,DFO:4301,2992,Uruguay,Uruguay,2015-10-14,2015-10-28,2015-10-14,2015-10-28,accepted,
2015-0504-IND,2015-0504,DFO-4309,DFO:4309|GLIDE:TC-2015-000163,22115,India,India,2015-11-08,2015-12-04,2015-11-10,2015-12-04,accepted,
2015-0542-ALB,2015-0542,DFO-4313,DFO:4313|HANZE:2037,27076,Albania,Albania,2015-11-21,2015-11-27,2015-11-21,2015-12-04,accepted,
2015-0551-ARG,2015-0551,DFO-4315,DFO:4315|GLIDE:FL-2015-000171|GLIDE:FL-2016-000003,27079,Argentina,Paraguay • Uruguay,2015-12-20,2016-01-11,2015-12-01,2016-01-29,rejected,country_mismatch
2015-0551-BRA,2015-0551,DFO-4315,DFO:4315|GLIDE:FL-2015-000171|GLIDE:FL-2016-000003,22112,Brazil,Paraguay • Uruguay,2015-12-20,2015-12-26,2015-12-01,2016-01-29,rejected,country_mismatch
2015-0551-PRY,2015-0551,DFO-4315,DFO:4315|GLIDE:FL-2015-000171|GLIDE:FL-2016-000003,22131,Paraguay,Paraguay • Uruguay,2015-11-01,2016-01-27,2015-12-01,2016-01-29,rejected,incomplete_publisher_date
2015-0551-URY,2015-0551,DFO-4315,DFO:4315|GLIDE:FL-2015-000171|GLIDE:FL-2016-000003,14553,Uruguay,Paraguay • Uruguay,2015-12-20,2015-12-26,2015-12-01,2016-01-29,accepted,
2015-0564-KEN,2015-0564,DFO-4317,DFO:4317|GLIDE:FL-2015-000169,22133,Kenya,Kenya,2015-12-01,2016-01-06,2015-12-01,2016-01-06,accepted,
2015-0565-USA,2015-0565,DFO-4314,DFO:4314,14561,United States of America,United States of America,2015-12-15,2016-01-06,2015-12-15,2016-01-29,accepted,
2016-0028-TZA,2016-0028,DFO-4324,DFO:4324|GLIDE:FL-2016-000011,22158,United Republic of Tanzania,United Republic of Tanzania,2016-01-17,2016-01-18,2016-01-14,2016-01-29,accepted,
2016-0032-ECU,2016-0032,DFO-4326,DFO:4326,2895,Ecuador,Ecuador • Colombia,2016-01-01,2016-01-25,2016-01-19,2016-01-29,accepted,
2016-0033-BRA,2016-0033,DFO-4325,DFO:4325,14587,Brazil,Brazil,2016-01-09,2016-01-15,2016-01-05,2016-01-29,accepted,
2016-0040-IDN,2016-0040,DFO-4330,DFO:4330|GLIDE:FL-2016-000009,14588,Indonesia,Indonesia • Malaysia,2016-02-07,2016-02-12,2016-01-18,2016-03-10,accepted,
2016-0095-CHN,2016-0095,DFO-4338,DFO:4338,2868,China,China,2016-03-19,2016-03-22,2016-03-19,2016-03-25,accepted,
2016-0096-NZL,2016-0096,DFO-4342,DFO:4342,22172,New Zealand,New Zealand,2016-03-23,2016-03-24,2016-03-23,2016-03-25,accepted,
2016-0101-ETH,2016-0101,DFO-4343,DFO:4343|GLIDE:FL-2016-000045,14598,Ethiopia,Ethiopia,2016-04-02,2016-04-07,2016-04-04,2016-04-13,accepted,
2016-0112-AFG,2016-0112,DFO-4339,DFO:4339|GLIDE:FL-2016-000021,22176,Afghanistan,Pakistan,2016-04-02,2016-04-08,2016-03-12,2016-04-13,rejected,country_mismatch
2016-0112-PAK,2016-0112,DFO-4339,DFO:4339|GLIDE:FL-2016-000021,27128,Pakistan,Pakistan,2016-04-02,2016-04-08,2016-03-12,2016-04-13,accepted,
2016-0115-URY,2016-0115,DFO-4350,DFO:4350|GLIDE:FL-2016-000041,14600,Uruguay,Uruguay,2016-04-12,2016-05-11,2016-04-12,2016-05-11,accepted,
2016-0128-RUS,2016-0128,DFO-4349,DFO:4349,2843,Russian Federation,Russian Federation,2016-04-16,2016-04-22,2016-04-15,2016-04-22,accepted,
2016-0129-MWI,2016-0129,DFO-4344,DFO:4344|DFO:4345,14607,Malawi,Malawi,2016-04-06,2016-04-11,2016-04-06,2016-04-13,accepted,
2016-0129-MWI,2016-0129,DFO-4345,DFO:4344|DFO:4345,14607,Malawi,Somalia,2016-04-06,2016-04-11,2016-04-06,2016-04-13,rejected,country_mismatch
2016-0129-SOM,2016-0129,DFO-4344,DFO:4344|DFO:4345,27111,Somalia,Malawi,2016-04-06,2016-04-11,2016-04-06,2016-04-13,rejected,country_mismatch
2016-0129-SOM,2016-0129,DFO-4345,DFO:4344|DFO:4345,27111,Somalia,Somalia,2016-04-06,2016-04-11,2016-04-06,2016-04-13,accepted,
2016-0131-AGO,2016-0131,DFO-4351,DFO:4351,2840,Angola,Angola,2016-04-16,2016-04-22,2016-04-19,2016-04-22,accepted,
2016-0139-IND,2016-0139,DFO-4355,DFO:4355,14611,India,India • Bangladesh,2016-04-22,2016-04-25,2016-04-20,2016-05-01,accepted,
2016-0179-AUT,2016-0179,DFO-4360,DFO:4360|DFO:4366|HANZE:1167|HANZE:274|HANZE:2841|HANZE:357|HANZE:41,22168,Austria,Germany,2016-06-01,2016-06-01,2016-05-27,2016-05-30,rejected,country_mismatch;no_date_overlap
2016-0179-AUT,2016-0179,DFO-4366,DFO:4360|DFO:4366|HANZE:1167|HANZE:274|HANZE:2841|HANZE:357|HANZE:41,22168,Austria,France,2016-06-01,2016-06-01,2016-06-01,2016-06-21,rejected,country_mismatch
2016-0179-BEL,2016-0179,DFO-4360,DFO:4360|DFO:4366|HANZE:1167|HANZE:274|HANZE:2841|HANZE:357|HANZE:41,22192,Belgium,Germany,2016-06-02,2016-06-08,2016-05-27,2016-05-30,rejected,country_mismatch;no_date_overlap
2016-0179-BEL,2016-0179,DFO-4366,DFO:4360|DFO:4366|HANZE:1167|HANZE:274|HANZE:2841|HANZE:357|HANZE:41,22192,Belgium,France,2016-06-02,2016-06-08,2016-06-01,2016-06-21,rejected,country_mismatch
2016-0179-DEU,2016-0179,DFO-4360,DFO:4360|DFO:4366|HANZE:1167|HANZE:274|HANZE:2841|HANZE:357|HANZE:41,27137,Germany,Germany,2016-05-27,2016-06-07,2016-05-27,2016-05-30,accepted,
