match_group_id,source,source_id,country,start_date,end_date
1569,EM-DAT,2003-0439-HTI,Haiti,2003-08-29,2003-08-30
1570,DFO,DFO-2340,Italy,2003-08-29,2003-08-30
1570,EM-DAT,2003-0433-ITA,Italy,2003-08-29,2003-08-31
1571,DFO,DFO-2335,Romania,2003-08-27,2003-08-27
1571,EM-DAT,2003-0685-ROU,Romania,2003-08-27,2003-08-27
1572,DFO,DFO-2322,Somalia,2003-08-18,2003-08-20
1572,EM-DAT,2003-0447-SOM,Somalia,2003-08-18,2003-08-20
1573,DFO,DFO-2320,Mali,2003-08-10,2003-10-19
1573,EM-DAT,2003-0389-MLI,Mali,2003-08-10,2003-10-19
1574,DFO,DFO-2315,Algeria,2003-08-09,2003-08-11
1574,EM-DAT,2003-0396-DZA,Algeria,2003-08-09,2003-08-11
1575,DFO,DFO-2316,Senegal • Mauritania,2003-08-09,2003-11-05
1575,EM-DAT,2003-0389-MRT,Mauritania,2003-08-07,2003-08-20
1575,EM-DAT,2003-0389-SEN,Senegal,2003-08-08,2003-08-10
1576,DFO,DFO-2306,Canada,2003-08-04,2003-08-05
1576,EM-DAT,2003-0417-CAN,Canada,2003-08-04,2003-08-05
1577,DFO,DFO-2298,Sudan • Eritrea,2003-07-28,2003-08-21
1577,DFO,DFO-2307,Sudan,2003-08-03,2003-08-25
1577,EM-DAT,2003-0368-SDN,Sudan,2003-07-28,2003-08-21
1577,EM-DAT,2003-0368-ERI,Eritrea,2003-07-28,2003-08-21
1578,DFO,DFO-2300,Afghanistan,2003-07-29,2003-07-30
1578,EM-DAT,2003-0392-AFG,Afghanistan,2003-07-29,2003-07-30
1579,DFO,DFO-2302,Russian Federation,2003-07-29,2003-07-31
1579,EM-DAT,2003-0393-RUS,Russian Federation,2003-07-29,2003-07-31
1580,DFO,DFO-2259,United States of America,2003-06-22,2003-06-28
1580,DFO,DFO-2273,United States of America,2003-07-05,2003-07-21
1580,DFO,DFO-2286,United States of America,2003-07-21,2003-07-28
1580,DFO,DFO-2295,United States of America,2003-07-27,2003-07-31
1580,EM-DAT,2003-0334-USA,United States of America,2003-07-05,2003-07-21
1581,DFO,DFO-2287,Mongolia,2003-07-21,2003-08-10
1581,EM-DAT,2003-0351-MNG,Mongolia,2003-07-21,2003-08-10
1582,DFO,DFO-2283,Japan,2003-07-19,2003-07-21
1582,EM-DAT,2003-0343-JPN,Japan,2003-07-19,2003-07-21
1583,DFO,DFO-2271,Afghanistan,2003-07-02,2003-07-05
1583,DFO,DFO-2272,Afghanistan,2003-07-05,2003-07-06
1583,DFO,DFO-2277,Afghanistan,2003-07-09,2003-07-11
1583,DFO,DFO-2280,Afghanistan,2003-07-15,2003-07-18
1583,EM-DAT,2003-0778-AFG,Afghanistan,2003-07-09,2003-07-09
1583,EM-DAT,2003-0337-AFG,Afghanistan,2003-07-12,2003-07-15
1584,DFO,DFO-2275,Nepal,2003-07-03,2003-08-20
1584,EM-DAT,2003-0341-NPL,Nepal,2003-07-03,2003-08-20
1585,DFO,DFO-2270,Uganda,2003-07-01,2003-07-03
1585,EM-DAT,2003-0706-UGA,Uganda,2003-07-01,2003-07-03
1586,DFO,DFO-2256,Afghanistan,2003-06-16,2003-06-21
1586,DFO,DFO-2265,Afghanistan,2003-06-25,2003-06-26
1586,EM-DAT,2003-0302-AFG,Afghanistan,2003-06-16,2003-06-21
1587,DFO,DFO-2255,Timor-Leste,2003-06-16,2003-06-20
1587,EM-DAT,2003-0293-TLS,Timor-Leste,2003-06-16,2003-06-20
1588,DFO,DFO-2251,Colombia,2003-06-14,2003-06-16
1588,DFO,DFO-2252,Colombia,2003-06-14,2003-06-16
1588,EM-DAT,2003-0284-COL,Colombia,2003-06-14,2003-06-16
1589,DFO,DFO-2243,Mexico,2003-06-05,2003-06-06
1589,DFO,DFO-2249,Mexico,2003-06-12,2003-06-15
1589,EM-DAT,2003-0712-MEX,Mexico,2003-06-05,2003-06-06
1589,EM-DAT,2003-0710-MEX,Mexico,2003-06-12,2003-06-15
1590,DFO,DFO-2246,Tajikistan,2003-06-06,2003-06-10
1590,EM-DAT,2003-0273-TJK,Tajikistan,2003-06-06,2003-06-10
1591,DFO,DFO-2245,China,2003-06-01,2003-06-14
1591,DFO,DFO-2242,China,2003-06-05,2003-06-07
1591,EM-DAT,2003-0274-CHN,China,2003-06-05,2003-06-07
1592,DFO,DFO-2206,Azerbaijan,2003-04-16,2003-06-04
1592,DFO,DFO-2244,Azerbaijan,2003-06-05,2003-06-14
1592,EM-DAT,2003-0212-AZE,Azerbaijan,2003-04-16,2003-06-04
1593,DFO,DFO-2240,Venezuela (Bolivarian Republic of),2003-06-01,2003-06-03
1593,EM-DAT,2003-0713-VEN,Venezuela (Bolivarian Republic of),2003-06-01,2003-06-03
